"workerid","A","B","percent","read_and_decide_time","quant","read_time_one","response","qq","percent_cat","resp","rt_too_quick"
34,"""jallem""","""sildal""",92,915,"Fewer than half",931,"false","Fewer than half","76-100",1,FALSE
34,"""birler""","""enciad""",73,726,"Fewer than half",723,"false","Fewer than half","61-75",1,FALSE
34,"""shurry""","""preser""",45,805,"Fewer than half",979,"true","Fewer than half","41-50",0,FALSE
34,"""fleeve""","""scalfs""",20,445,"Fewer than half",679,"true","Fewer than half","1-25",0,FALSE
34,"""chevel""","""podden""",15,598,"More than half",664,"false","More than half","1-25",0,FALSE
34,"""bameta""","""unzast""",88,679,"Fewer than half",726,"false","Fewer than half","76-100",1,FALSE
34,"""pengyl""","""sedest""",16,1310,"Fewer than half",773,"true","Fewer than half","1-25",0,FALSE
34,"""tecker""","""biller""",51,790,"Fewer than half",1310,"false","Fewer than half","51-60",1,FALSE
34,"""gukbar""","""soarse""",87,474,"More than half",2114,"true","More than half","76-100",1,FALSE
34,"""menner""","""nandow""",44,726,"More than half",1248,"false","More than half","41-50",0,FALSE
34,"""sporer""","""firtly""",77,853,"Fewer than half",1151,"false","Fewer than half","76-100",1,FALSE
34,"""raster""","""movell""",54,775,"Fewer than half",900,"false","Fewer than half","51-60",1,FALSE
34,"""schook""","""jabant""",19,789,"Fewer than half",837,"true","Fewer than half","1-25",0,FALSE
36,"""dorder""","""coggon""",65,2284,"More than half",2344,"true","More than half","61-75",1,FALSE
36,"""russer""","""huttle""",61,1413,"Fewer than half",2662,"false","Fewer than half","61-75",1,FALSE
36,"""shrile""","""athoid""",25,2265,"Fewer than half",2868,"true","Fewer than half","1-25",0,FALSE
36,"""pluset""","""stubad""",98,1262,"Fewer than half",2498,"false","Fewer than half","76-100",1,FALSE
36,"""cather""","""funder""",71,1592,"Fewer than half",2572,"false","Fewer than half","61-75",1,FALSE
36,"""devole""","""sholly""",77,1330,"More than half",2408,"true","More than half","76-100",1,FALSE
36,"""coppar""","""hunene""",69,1820,"More than half",2598,"true","More than half","61-75",1,FALSE
36,"""hadder""","""ollidy""",46,1272,"More than half",2270,"false","More than half","41-50",0,FALSE
36,"""gukbar""","""soarse""",9,1465,"More than half",2180,"false","More than half","1-25",0,FALSE
36,"""chulks""","""vulhor""",14,1229,"More than half",2000,"false","More than half","1-25",0,FALSE
36,"""coppar""","""hunene""",69,1778,"Fewer than half",1937,"false","Fewer than half","61-75",1,FALSE
36,"""jallem""","""sildal""",68,1673,"Fewer than half",1909,"false","Fewer than half","61-75",1,FALSE
36,"""gukbar""","""soarse""",35,1218,"Fewer than half",2153,"true","Fewer than half","26-40",0,FALSE
36,"""pirter""","""secent""",67,1166,"More than half",2344,"true","More than half","61-75",1,FALSE
36,"""mecket""","""plumry""",10,1509,"Fewer than half",2715,"true","Fewer than half","1-25",0,FALSE
36,"""middor""","""drooty""",29,1385,"Fewer than half",2185,"true","Fewer than half","26-40",0,FALSE
36,"""menner""","""nandow""",98,1544,"More than half",2603,"true","More than half","76-100",1,FALSE
36,"""clidge""","""hensly""",47,1329,"Fewer than half",2610,"true","Fewer than half","41-50",0,FALSE
36,"""bameta""","""unzast""",81,1383,"More than half",1692,"true","More than half","76-100",1,FALSE
36,"""shamer""","""bloifs""",33,1347,"More than half",1867,"false","More than half","26-40",0,FALSE
36,"""padnet""","""fanely""",53,1334,"Fewer than half",2498,"false","Fewer than half","51-60",1,FALSE
36,"""ancits""","""smeath""",29,1069,"More than half",2296,"false","More than half","26-40",0,FALSE
36,"""menner""","""nandow""",91,1466,"Fewer than half",1882,"false","Fewer than half","76-100",1,FALSE
36,"""strant""","""potind""",17,892,"Fewer than half",1696,"true","Fewer than half","1-25",0,FALSE
36,"""sporer""","""firtly""",86,1180,"Fewer than half",1913,"false","Fewer than half","76-100",1,FALSE
36,"""chadop""","""shaple""",49,1167,"Fewer than half",2207,"true","Fewer than half","41-50",0,FALSE
36,"""pengyl""","""sedest""",11,1610,"Fewer than half",1792,"true","Fewer than half","1-25",0,FALSE
36,"""pluset""","""stubad""",74,962,"More than half",1469,"true","More than half","61-75",1,FALSE
36,"""tecker""","""biller""",76,1459,"More than half",1241,"true","More than half","76-100",1,FALSE
36,"""clidge""","""hensly""",5,1144,"More than half",1547,"false","More than half","1-25",0,FALSE
36,"""ancits""","""smeath""",22,1360,"Fewer than half",1622,"true","Fewer than half","1-25",0,FALSE
36,"""raster""","""movell""",65,862,"Fewer than half",1314,"false","Fewer than half","61-75",1,FALSE
36,"""tiklet""","""hullaw""",14,1341,"Fewer than half",1326,"true","Fewer than half","1-25",0,FALSE
